age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_delinquent_accounts,monthly_payment_capacity,last_audit_team_id,loan_defaulted
29,70580.38,0.4,14469.67,36,5.61,843,3,2,5444.06,3,0
23,31601.79,0.3,7347.89,36,9.97,602,3,1,2396.49,8,1
29,77199.78,9.5,12327.41,24,4.43,830,3,0,5895.64,10,0
53,17705.5,13.5,26636.91,48,9.9,561,3,0,801.16,11,0
20,31389.98,9.7,9138.8,48,14.4,395,3,0,2364.26,7,0
50,46376.79,0.1,14810.92,48,9.54,625,4,1,3492.35,10,0
34,49958.74,5.1,9733.77,48,9.68,638,4,0,3917.85,4,0
49,42915.58,5.6,6890.8,24,11.08,538,5,0,3254.88,9,0
44,38144.24,6.2,21869.82,24,10.18,611,3,0,2167.69,14,0
33,36806.97,9.8,7083.46,24,9.39,625,5,1,2742.37,16,0
36,29285.29,0.5,13886.35,36,7.8,713,2,0,2006.57,17,0
24,15000.0,2.0,15070.7,24,9.73,614,3,0,556.44,7,0
43,37283.06,1.4,17783.87,48,11.21,511,2,1,2645.47,10,0
33,37159.88,2.8,23203.5,24,8.34,739,4,0,2043.62,8,1
50,26033.15,8.3,3880.65,36,8.7,657,2,0,2046.57,3,0
26,101720.1,8.2,10497.47,60,5.6,806,2,0,8275.68,17,0
40,19232.43,9.4,43099.71,24,9.6,660,4,0,-378.18,7,0
35,42973.6,1.7,3104.7,48,13.62,453,3,0,3496.88,1,0
36,47301.08,1.5,39777.95,60,8.07,698,4,1,3133.87,13,0
37,20770.1,1.6,17305.12,24,7.51,717,5,0,952.04,5,1
48,46461.2,3.9,15490.24,48,10.04,634,3,0,3478.6,4,0
52,18099.87,0.7,23198.14,48,7.6,684,3,1,946.33,9,0
38,39143.97,0.2,24352.99,48,9.25,659,3,1,2653.08,5,1
33,22909.89,8.0,15087.03,48,8.45,675,4,1,1537.64,16,0
40,18570.78,1.4,2953.01,48,7.65,738,1,0,1475.96,10,0
50,15000.0,2.9,7103.72,36,7.98,721,4,0,1027.46,9,0
36,145797.43,2.5,21024.0,12,7.92,676,1,0,10321.72,10,0
34,51728.92,0.1,17730.76,24,12.27,495,4,1,3473.86,10,0
48,15000.0,3.7,16297.43,60,8.52,702,4,0,915.48,17,0
30,32283.2,0.1,4722.78,60,7.16,742,8,0,2596.39,4,0
38,16484.14,24.2,24155.25,60,11.23,494,2,1,845.71,17,0
38,15000.0,8.2,13003.43,48,6.35,815,3,0,942.52,16,0
25,25609.4,1.5,6595.72,60,6.67,738,3,0,2004.54,7,0
52,86567.17,1.0,5204.29,48,9.74,636,2,0,7082.59,17,0
45,102227.88,0.8,10290.39,36,10.82,506,5,0,8182.97,16,0
28,47050.91,0.8,20784.22,36,6.06,805,7,0,3288.05,12,0
18,16463.78,0.7,9697.7,60,10.4,622,1,0,1164.02,11,0
40,21441.78,5.8,11308.42,36,10.26,596,4,0,1420.54,12,0
26,66818.26,9.2,2152.32,60,11.03,543,3,1,5521.36,6,0
30,15000.0,5.0,15988.04,24,7.44,734,0,0,530.98,1,0
30,15633.0,0.5,20060.18,60,8.94,719,3,1,886.92,16,0
18,27214.01,10.5,7570.91,48,11.28,514,0,0,2071.13,0,1
29,15000.0,12.5,6595.61,36,4.71,818,4,0,1053.18,11,0
33,30263.53,4.0,14698.46,48,7.83,774,5,0,2164.3,13,0
18,31488.21,1.0,6591.46,60,7.86,717,2,0,2490.81,0,1
49,75613.57,6.5,24428.86,12,11.24,532,5,0,4139.33,16,0
40,26006.89,5.3,46729.58,48,10.8,596,4,0,964.02,2,1
26,18768.32,2.6,50600.52,36,8.09,669,4,0,-23.71,13,0
30,15000.0,0.9,14475.45,36,11.47,539,6,1,772.86,2,1
23,117353.43,0.7,13008.58,48,10.33,598,5,0,9447.46,1,0
23,87977.39,4.6,29003.32,12,5.37,794,3,0,4843.63,1,0
26,19301.98,2.2,35741.16,36,7.82,673,3,0,491.47,14,0
41,65112.41,8.1,3238.44,24,8.47,656,3,0,5278.87,11,0
35,15000.0,13.2,2921.84,48,8.87,652,3,1,1177.47,4,0
35,40820.11,12.1,13633.35,24,8.57,693,3,0,2781.53,12,0
41,18478.26,0.2,56102.58,48,8.19,686,2,0,165.22,8,1
26,77911.63,0.7,8688.71,24,11.72,510,5,0,6084.76,8,1
27,91654.74,0.1,14895.87,36,9.61,604,3,0,7159.97,9,0
36,43584.61,3.7,12053.27,24,12.36,513,2,0,3062.63,10,0
45,25192.7,2.8,24641.55,36,8.5,652,4,0,1321.52,3,0
36,37937.76,1.6,2969.04,24,7.35,718,4,0,3028.08,15,1
33,38551.02,1.7,22484.29,36,6.14,765,6,0,2527.14,0,1
28,31114.08,1.8,6616.54,36,4.64,850,4,1,2395.6,1,0
18,63516.42,24.0,12843.9,24,7.06,740,2,0,4717.63,6,0
23,65152.93,14.7,12313.89,36,8.62,661,3,1,5040.01,14,0
32,17657.92,5.2,3796.58,24,7.36,726,1,0,1300.89,14,0
46,62956.23,0.8,25276.07,48,9.59,664,2,0,4610.25,11,0
20,92487.77,2.2,3934.62,60,7.46,725,3,0,7628.55,15,1
49,37919.25,3.8,24400.87,36,10.55,551,1,0,2366.27,10,0
30,30476.6,5.9,8019.69,36,13.86,449,6,0,2266.17,6,0
33,103705.29,5.2,21412.08,36,6.47,731,3,1,7986.14,14,0
28,18759.94,0.6,13246.46,12,9.54,637,2,0,401.59,8,1
41,56249.57,0.8,5386.1,36,8.16,676,1,0,4518.29,9,0
28,116323.41,24.0,25015.61,36,8.91,626,2,0,8899.18,3,0
26,118186.71,6.5,7837.07,48,10.11,589,3,0,9649.71,7,0
39,37169.96,1.8,59917.78,36,8.54,688,3,0,1204.93,2,1
28,41696.01,24.9,13614.98,36,11.84,545,2,0,3023.5,7,0
27,35275.27,2.6,8176.93,48,12.75,396,1,0,2721.25,9,0
42,35455.02,1.6,15918.11,24,9.76,616,3,0,2221.81,12,0
42,23941.81,6.1,10361.87,36,7.79,747,1,0,1671.45,3,0
18,60195.02,1.4,7971.15,24,7.56,706,4,0,4657.34,14,0
45,43586.13,1.2,5785.51,36,8.65,641,0,0,3449.14,15,1
50,39233.75,10.2,11479.82,36,8.11,704,5,0,2909.16,10,0
32,29032.81,17.5,30499.13,48,8.32,667,2,1,1670.24,11,0
39,15000.0,3.1,16852.77,48,11.76,542,2,0,808.19,11,0
21,21794.09,1.3,4808.19,48,11.2,559,1,1,1691.44,0,1
39,23853.52,19.9,4334.11,36,11.27,564,1,0,1845.35,16,0
45,49003.21,4.2,7523.38,48,7.18,738,6,0,3902.82,13,0
23,89697.75,3.3,7770.66,48,6.64,734,2,1,7290.03,12,0
37,23743.07,0.5,27880.28,60,9.99,589,3,0,1386.35,15,1
23,83119.15,3.1,5235.7,24,7.94,675,3,1,6689.94,15,1
45,15000.0,6.4,14181.03,36,4.23,850,2,0,829.87,1,0
43,55519.93,6.2,50569.83,36,7.58,724,2,0,3051.77,4,0
42,19283.27,1.4,10251.36,36,7.52,703,2,0,1287.96,5,1
54,54021.17,4.1,4678.62,48,9.04,639,3,0,4385.25,15,1
38,91705.59,0.8,21212.83,48,10.55,537,2,1,7098.5,3,0
32,15000.0,5.4,15125.26,36,9.06,622,4,0,768.6,4,0
33,24212.15,6.2,20835.03,36,9.03,648,1,2,1354.84,17,0
42,27478.83,4.6,5030.58,24,7.83,716,6,0,2062.77,0,1
45,21593.3,0.2,11237.97,12,5.39,850,0,1,835.38,3,0
46,25780.49,15.7,27396.19,24,7.18,745,5,1,919.54,17,0
35,150513.96,0.9,18371.77,48,8.8,678,3,0,12087.39,14,0
26,33859.25,0.1,18920.53,60,9.86,616,4,0,2420.9,0,1
18,23032.65,3.4,15518.45,60,8.56,654,4,1,1600.55,15,1
22,34197.07,6.4,18302.56,36,9.43,621,6,0,2264.07,2,1
52,23286.71,5.0,7341.5,48,10.35,585,2,1,1753.12,2,1
38,79109.46,3.7,4766.03,48,13.4,455,0,0,6463.65,9,0
29,135555.29,1.3,2996.95,12,11.51,545,3,2,11030.69,8,1
21,21044.21,10.5,46892.44,36,9.4,640,2,0,253.77,6,0
50,68140.64,12.2,9560.39,24,8.62,680,3,1,5243.29,9,0
34,22890.4,1.6,28634.17,36,10.05,648,2,0,982.92,1,0
50,56702.83,12.3,5551.99,60,11.66,535,5,1,4602.69,15,1
35,54486.43,23.1,79745.25,36,10.49,590,1,0,1949.0,15,1
43,15000.0,0.7,8934.23,24,12.52,509,2,1,827.26,5,1
33,16092.4,9.1,19175.01,24,14.19,390,2,0,418.66,2,1
22,16430.51,8.7,8937.59,24,6.04,784,3,1,972.93,2,1
21,18969.73,0.4,12971.34,24,8.99,685,2,0,988.28,10,0
40,74622.28,10.8,5810.26,48,9.83,600,7,0,6071.63,7,0
32,65819.1,8.2,24934.43,36,10.38,591,2,0,4675.91,9,0
18,19883.26,4.0,7828.37,24,7.45,749,2,1,1304.84,7,0
44,72843.25,0.8,12765.08,48,15.42,365,3,0,5712.29,10,0
38,40156.58,17.6,13550.12,48,12.25,500,6,0,2987.89,9,0
33,18924.06,16.2,18926.07,36,11.09,481,2,1,956.58,5,1
36,20381.52,4.5,18439.05,36,7.97,680,0,0,1120.9,7,0
39,87536.81,8.5,10283.62,36,8.18,698,7,0,6971.63,12,0
54,22639.98,0.1,12560.34,24,5.52,788,5,2,1332.7,16,0
41,22932.32,2.6,16261.91,36,10.66,550,6,0,1381.25,9,0
18,102114.03,4.6,17369.26,36,6.26,789,2,1,7979.05,14,0
27,56904.95,6.8,6855.53,48,8.83,670,3,0,4572.03,13,0
42,33359.04,8.6,27448.87,36,9.46,640,3,0,1901.16,16,0
56,15000.0,5.8,6801.02,48,7.88,702,2,0,1084.35,17,0
32,15000.0,7.1,19947.33,48,14.47,420,4,0,700.2,10,0
32,26139.14,0.7,10292.56,24,10.94,554,3,0,1698.83,4,0
31,52281.22,4.4,14786.94,36,9.53,617,2,0,3882.89,11,0
33,82597.17,0.9,86986.48,60,7.74,694,2,0,5130.13,10,0
32,107115.02,9.0,52135.92,36,8.88,657,2,0,7271.25,10,0
43,37160.6,15.8,6017.94,48,10.17,610,4,1,2943.59,6,0
38,15000.0,1.0,18742.79,24,11.75,518,5,0,369.9,8,1
27,23096.35,5.8,30433.53,36,10.43,604,5,1,936.54,4,0
63,77428.21,16.6,7565.53,24,7.89,753,1,1,6110.56,7,0
41,70665.65,9.6,58690.65,36,9.41,633,1,0,4011.24,14,0
27,24681.95,3.9,14391.3,60,6.07,832,1,0,1778.14,10,0
28,43357.22,3.7,24274.12,12,8.53,639,7,1,1495.58,5,1
35,68105.4,1.7,90013.59,48,11.6,498,3,0,3322.69,8,1
40,15000.0,0.2,20661.01,48,9.14,632,4,0,734.48,9,0
27,25767.42,11.0,14384.31,48,13.34,454,1,0,1758.96,0,1
29,29664.78,16.7,21713.79,24,9.38,661,1,0,1476.29,17,0
23,93069.68,3.0,9638.15,24,9.86,604,7,1,7311.68,3,0
23,78580.94,0.1,2997.09,48,7.96,646,1,0,6475.3,0,1
22,125423.25,2.4,33081.36,60,10.47,593,4,0,9741.38,3,0
32,32822.14,2.3,3998.69,48,9.08,683,2,0,2635.52,1,0
32,26327.44,3.4,15845.59,24,8.43,639,2,0,1474.19,1,0
29,18384.89,3.2,14755.12,48,7.98,671,3,0,1172.0,3,0
40,51239.71,1.5,15020.04,24,10.67,592,2,0,3572.22,0,1
35,89324.52,3.4,3018.04,36,11.84,503,3,0,7343.7,0,1
38,28986.68,0.0,12054.41,24,12.25,474,4,0,1846.71,11,0
38,20550.65,2.1,6903.35,12,14.9,356,4,1,1089.8,2,1
48,53690.47,22.9,36267.37,36,7.74,703,2,0,3342.06,11,0
32,53567.93,5.5,23595.73,60,9.44,663,5,0,3969.13,6,0
37,47190.68,1.9,9273.78,24,8.25,715,2,0,3512.07,14,0
38,66149.04,2.8,4536.55,48,8.22,679,3,1,5401.2,14,0
18,38026.91,1.4,2461.69,48,5.99,792,1,0,3111.11,16,0
37,41622.13,21.6,7768.27,24,10.8,581,0,0,3107.17,9,0
24,73378.07,2.5,9004.21,24,10.5,552,2,1,5697.26,15,1
35,18694.13,3.9,13418.32,36,8.98,650,3,0,1131.27,17,0
31,69442.01,2.1,14671.46,36,9.65,594,2,1,5315.83,13,0
44,68239.46,1.7,4884.57,48,8.05,689,4,0,5567.26,3,0
42,17337.22,2.5,25090.47,48,7.46,683,3,0,838.58,4,0
37,58173.99,0.8,16954.99,48,8.28,667,3,1,4431.68,10,0
43,42916.38,0.1,10241.87,36,11.41,550,1,0,3239.07,3,0
39,40799.99,12.3,2772.66,60,11.13,570,5,0,3339.54,3,0
20,42708.52,0.8,7577.25,36,10.91,601,3,0,3311.3,7,0
37,15000.0,7.0,5349.32,60,8.93,683,4,0,1139.14,11,0
32,34960.06,1.0,38449.34,48,8.6,661,3,0,1963.81,6,0
39,34309.06,0.3,14173.73,12,9.15,684,3,0,1618.59,9,0
20,51061.67,1.6,3953.66,24,10.14,573,1,0,4072.44,4,0
42,16546.99,2.8,24193.04,48,7.1,705,3,0,798.46,4,0
23,37108.23,4.6,9300.95,24,12.24,532,4,1,2653.48,9,0
24,43754.54,19.7,4340.49,24,7.23,774,3,2,3451.42,16,0
41,87669.69,4.5,6493.77,36,6.82,764,3,1,7105.83,8,1
28,22848.61,9.5,9305.98,24,7.5,708,2,0,1485.28,3,0
24,81393.76,3.7,7273.58,48,12.95,482,5,0,6587.86,9,0
20,19898.37,1.0,26837.91,48,9.24,647,2,0,987.27,4,0
24,42064.03,0.5,3638.96,48,9.25,614,5,0,3414.35,3,0
18,39880.09,0.8,41637.91,60,7.79,763,3,0,2483.25,4,0
27,81851.91,21.3,11722.41,48,9.04,666,1,0,6529.06,17,0
36,15000.0,2.3,8191.86,36,6.99,717,4,0,997.1,5,1
51,16244.13,7.0,35790.58,36,9.0,654,1,0,215.55,14,0
40,46384.97,1.7,26050.96,24,9.19,623,3,1,2673.01,11,0
23,31297.04,0.3,9392.0,48,9.22,645,3,0,2373.38,13,0
39,53327.9,0.4,6424.08,48,8.96,711,3,0,4284.25,4,0
50,25591.77,2.0,17569.29,36,8.89,671,1,1,1574.85,15,1
37,17484.48,2.7,2833.58,48,11.68,491,1,1,1382.87,4,0
31,22776.03,6.1,11281.8,48,6.6,807,1,0,1629.93,16,0
38,34848.02,3.5,26175.64,24,9.32,603,2,1,1704.33,3,0
41,141179.02,3.3,6509.39,48,8.84,649,7,2,11603.43,11,0
33,37521.79,15.7,1136.29,60,5.96,798,2,0,3104.87,14,0
39,101954.9,1.2,86014.66,36,6.73,740,5,0,5850.96,9,0
27,28457.99,6.5,23965.93,24,9.35,649,2,0,1272.77,11,0
44,48760.75,6.3,7362.72,36,6.52,725,6,0,3837.67,10,0
42,74669.78,21.5,16215.64,48,7.6,719,1,0,5829.65,6,0
23,31824.31,1.2,8455.97,36,9.36,640,7,0,2381.71,12,0
40,36644.95,0.5,24813.65,24,11.4,548,6,0,1892.62,15,1
33,55275.3,2.2,4895.26,24,10.04,594,3,0,4380.29,15,1
34,168423.89,1.8,10031.08,60,6.96,726,5,0,13836.89,4,0
23,50493.92,1.9,5588.63,36,10.05,604,3,1,4027.37,4,0
18,91812.46,3.5,61439.7,36,9.72,594,1,0,5676.62,11,0
41,66289.48,1.2,12822.46,60,10.46,589,1,0,5248.77,3,0
49,34714.21,5.1,41812.38,48,9.42,599,3,0,1843.99,13,0
38,15000.0,2.9,10349.19,36,6.16,740,4,2,934.41,12,0
35,15000.0,3.8,49495.34,12,10.29,583,3,0,-3108.11,7,0
28,15000.0,0.8,13550.87,12,8.11,696,4,1,70.54,11,0
37,34383.21,1.7,4459.66,48,8.27,675,2,0,2755.83,5,1
23,32755.84,2.9,5997.29,36,4.6,850,3,0,2550.98,7,0
36,50757.28,0.3,6611.19,24,9.08,751,1,0,3927.5,7,0
23,39061.53,1.3,12240.42,48,10.26,580,4,0,2943.15,0,1
19,98419.91,0.3,6188.78,36,6.04,766,1,0,8013.27,11,0
59,64660.56,2.7,8489.91,60,9.51,626,0,0,5210.03,17,0
37,17683.25,3.5,12788.35,48,10.58,573,3,0,1145.68,17,0
45,30676.61,4.4,20711.05,48,6.0,801,1,1,2069.98,5,1
42,43720.61,0.1,35464.04,48,9.5,627,0,0,2752.42,1,0
50,15000.0,12.4,7854.79,12,8.88,645,3,1,563.52,5,1
18,36615.08,2.2,18407.5,24,10.02,553,0,0,2201.67,10,0
55,52177.39,1.2,13298.2,48,12.31,477,2,0,3995.9,14,0
20,50027.43,3.3,37300.99,48,5.61,826,3,0,3299.59,12,0
30,61230.11,7.9,12624.26,24,11.47,490,2,0,4511.36,4,0
18,31446.52,3.3,9334.24,60,9.12,629,0,1,2426.24,1,0
37,55743.73,2.5,6922.07,36,10.44,624,5,0,4420.52,7,0
40,38283.96,3.1,14091.29,48,11.0,541,2,1,2826.13,3,0
32,30050.85,4.3,23305.83,36,7.88,682,4,1,1775.21,17,0
32,15000.0,8.1,70908.94,24,9.23,601,1,0,-1996.94,17,0
37,70023.96,7.2,18465.67,36,7.03,708,2,0,5264.91,6,0
46,37730.66,5.8,35769.34,36,11.01,558,6,0,1973.01,16,0
47,174779.0,1.5,7529.53,48,11.89,519,5,2,14367.04,16,0
34,144070.48,4.0,6861.19,36,9.33,645,3,0,11786.63,10,0
55,15000.0,4.9,10644.52,36,11.59,528,3,0,898.53,3,0
29,20681.86,2.8,9865.69,36,7.65,682,1,1,1415.92,9,0
25,17985.99,1.9,16520.29,12,9.4,623,3,0,51.04,8,1
33,25828.26,1.5,19766.72,48,6.44,773,3,0,1684.14,9,0
35,31826.87,4.9,6448.81,48,8.72,633,1,1,2492.62,11,0
18,59995.15,0.6,12350.27,36,10.63,546,2,1,4597.42,1,0
41,70053.68,4.4,12021.58,48,8.66,641,5,0,5540.59,13,0
40,42214.64,4.3,16484.89,24,12.0,484,4,0,2741.89,17,0
43,31270.36,0.7,11983.75,12,10.23,549,2,0,1551.02,7,0
36,15000.0,6.5,6996.76,60,5.85,819,0,0,1115.22,7,0
36,33684.35,0.5,14376.07,36,10.0,597,4,0,2343.15,17,0
31,19070.41,4.0,29388.11,48,6.63,736,1,0,890.5,17,0
40,15000.0,0.9,20404.26,48,7.43,738,2,2,757.31,14,0
26,28105.38,3.1,13122.69,36,8.76,665,3,1,1926.28,11,0
44,106822.6,6.5,14962.18,36,7.95,685,0,0,8433.37,4,0
41,25520.79,4.2,5533.81,36,9.73,600,3,0,1948.87,17,0
37,24721.58,2.9,14334.28,24,12.65,475,2,0,1381.01,8,1
45,29891.1,2.2,18447.35,36,7.79,677,2,0,1914.64,17,0
23,88396.88,7.3,2199.02,48,7.63,685,3,0,7313.1,16,0
30,36868.91,13.0,6121.38,48,9.99,579,4,0,2917.18,5,1
44,99480.66,7.7,23304.47,24,6.76,798,3,0,7249.19,12,0
45,43037.28,1.3,5323.13,48,10.03,612,5,0,3451.35,14,0
19,23776.56,4.1,8032.16,24,8.78,669,1,0,1615.24,11,0
24,77106.18,4.3,21394.51,12,7.28,729,1,1,4571.56,17,0
32,18366.68,3.1,10236.62,36,10.19,584,0,1,1199.34,11,0
21,206169.85,0.7,7148.15,48,5.65,850,6,0,17014.09,4,0
36,49188.58,3.5,52353.65,36,10.22,586,4,0,2404.33,0,1
45,15000.0,1.3,47329.46,48,10.96,549,1,0,27.66,1,0
46,68903.95,4.3,25420.41,60,8.41,670,4,1,5221.56,9,0
32,29558.12,3.3,14783.88,24,8.81,694,3,1,1789.07,12,0
29,17264.92,4.3,8832.79,48,9.82,599,1,0,1215.48,12,0
35,56814.91,3.4,10388.43,48,9.87,654,3,0,4471.75,1,0
35,27983.69,5.1,21854.09,24,6.91,737,4,0,1354.4,8,1
35,75140.05,1.4,20252.57,60,10.1,621,4,0,5830.37,16,0
22,69843.91,0.1,13678.67,48,10.68,587,5,0,5468.92,15,1
52,40400.14,0.1,11347.58,12,7.7,718,3,0,2381.14,2,1
42,39946.14,1.3,42326.1,36,12.76,460,5,0,1907.6,1,0
22,64274.35,7.5,16301.04,24,7.37,696,5,0,4623.62,1,0
28,44988.94,1.2,46886.86,12,12.26,499,3,1,-422.47,13,0
61,17627.7,0.6,11881.22,48,9.85,605,3,0,1168.49,8,1
